"","X","id","institution_code","star","flag","scientificName","collectors","collectors_parsed","collector_number_prefix","collector_number","collector_number_suffix","early_julian_day","late_julian_day","verbatim_date","county","elevation","locality","locality_parsed","geocoded","longitude","latitude","datum","georeference_source","township_range_section","error_radius","error_radius_units","current_name","current_name_binomial","current_genus","current_species","clade","dataset","cloned_geocode","jepson_flag","flagged_record_corrected","maxent_index","naturalised","cultivated","possible_mislabel","exclude_species","jepson_flag_october","new_flag","exclude_clade","x_epsg_3310","y_epsg_3310","Tave_wt","Tave_sp","Tave_sm","Tave_at","Tmin_wt","Tmax_sm","PPT_wt","PPT_sp","PPT_sm","PPT_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD5","DD_0","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","year","aet","cwd","cwd_gs","pet","ppt","soil_mean","soil_min","srad","swe_max","tmax","tmin","vpd_max","vpd_spr","vpd_gs"
"1",9,"UCSB1105","","","","Quercus douglasii","J. Haller","J. Haller","","37","","4/26/1950","4/26/1950","Apr 26 1950","Santa Clara","","   HILLSIDE W OF FRATERNITY ROW STANFORD UNIVERSITY","HILLSIDE West of OF FRATERNITY ROW STANFORD UNIVERSITY","yes",-122.1788,37.4198,"WGS84","GoogleMaps via BerkeleyMapper","",1,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.116877951,NA,NA,NA,NA,"no",NA,NA,-192541.688381153,-64105.2941295519,9.8,13.8,19.2,16.2,4.7,26.9,248,119,5,110,14.7,19.7,9.2,10.5,482,19,51.3,1057.5,3581,19,347,40,346,306,2,-8.8,39.9,1180,844,16.5,60,1950,378.2,807.9,117.716666666667,1186.2,484.2,51.3,14.9,193.108333333333,0,25,4.60000000000001,0.95,0.68,0.84
"2",19,"DS100657","","","","Quercus douglasii","William R. Dudley","William R. Dudley","s.n.","","","1893-11-24","1893-11-24","Nov. 24, 1893","Santa Clara","","   Foothills near Lake Lagunita, Stanford University. Santa Cruz Mountain Peninsula","Foothills near Lake Lagunita, Stanford University. Santa Cruz Mountain Peninsula","yes",-122.1863,37.3999,"WGS84","GoogleMaps via BerkeleyMapper (copied from DS32445) ","",3,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.094669668,NA,NA,NA,NA,"no",NA,NA,-193255.357971003,-66301.5967329284,9.9,13.6,19.3,16.3,4.7,27.5,289,141,6,128,14.8,19.9,9.3,10.5,565,22,43.9,890,3598,19,347,43,345,302,2,-8.5,40.4,1205,853,16.6,59,1893,407,766.1,112.75,1173.1,559.9,60.65,16.9,193.341666666667,0,25.2,4.40000000000001,0.97,0.65,0.843333333333333
"3",22,"A344350","","","","Quercus douglasii","A. Eastwood","A. Eastwood","","","","4/20/1921","4/20/1921","4/20/1921","Santa Clara","","   Los Altos","Los Altos","yes",-122.1004,37.367,"WGS84","Geolocate (copied from A343158)","",5000,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.155390975,NA,NA,NA,NA,"no",NA,NA,-185744.615189365,-70129.6126877926,9.7,13.8,19.3,16.2,4.5,27.2,240,118,6,106,14.7,19.8,9,10.8,469,20,52.7,1005.4,3584,20,346,43,345,301,2,-9.3,40,1193,855,16.6,59,1921,410.4,809.8,118.216666666667,1220.2,522.9,64.9,18.9,193.9,0,26,4.7,1.06,0.725,0.925
"4",27,"UC521766","","","","Quercus douglasii","Joseph Andorfer Ewan","Joseph Andorfer Ewan","","8120","","10/8/1933","10/8/1933","Oct 8 1933","Santa Clara","4000 ft","   nw side summit Mt. Hamilton","Northwest side of summit Mount Hamilton","yes",-121.64059,37.342384,"NAD27","Terrain Navigator, inferred","",0.323,"miles","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.098675388,NA,NA,NA,NA,"no",NA,NA,-145134.226190318,-73667.8224945958,7.4,10.8,20.5,15.6,3.7,26.8,281,162,8,147,13.6,21.8,6.8,15,598,34,39.4,633.9,3202,40,337,58,343,286,6,-11.4,38.9,1013,692,18.1,69,1933,458.1,818.1,124.316666666667,1276,961.2,58.5416666666667,15.1,197.933333333333,0,31,2.3,2,0.735,1.35833333333333
"5",35,"A344361","","","","Quercus douglasii","W. R. Dudley & F. H. Lamb","W. R. Dudley & F. H. Lamb","","4470","","1896-6-12","1896-6-12","1896-06-12","","","   Canon above Castac Lake, Tejon Pass","Tejon Pass. Canyon above Castac Lake","yes",-118.8498,34.8332,"NAD83","USGS 1:24000 (copied from DS4735)","",2,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.139735866,NA,NA,NA,NA,"no",NA,NA,105136.689362342,-353068.847091361,6.1,11.5,21.9,15,0.6,31.6,162,95,6,60,13.6,23.4,5.8,17.7,323,26,73.1,901.1,3257,53,296,104,314,210,5,-17.1,43,1324,1038,19.4,55,1896,300.3,1139.2,154.5,1439.3,343.6,22.5833333333333,8,213.716666666667,0,29.8,1.5,2.1,0.84,1.48833333333333
"6",36,"HSC27172","","","","Quercus douglasii","J. P. Smith, J. O. Sawyer","J. P. Smith, J. O. Sawyer","","5109","","4/1/1972","4/1/1972","Apr 1 1972","Lake","","   0.2 mi. N of junction of Hwy. 20 and Walker Ridge Rd.","0.2 miles North of junction of Highway 20 and Walker Ridge Road","yes",-122.452,39.0257,"WGS84","GoogleMaps via BerkeleyMapper (copied from HSC27434)","",250,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.040641564,NA,NA,NA,NA,"no",NA,NA,-212063.110068609,114938.240956986,7.7,13.6,24.2,17,2.9,33.6,324,121,9,139,15.6,25.6,6.9,18.7,592,31,43.3,831.3,3938,33,332,68,338,270,5,-12.3,43.6,1285,966,17.1,58,1972,438.1,865.7,132.7,1303.7,783.1,71.6166666666667,19.3,192.191666666667,0,33.6,0.799999999999997,2.22,0.9,1.595
"7",40,"A344389","","","","Quercus douglasii","I. L. Wiggins","I. L. Wiggins","","9325","A","8/31/1939","8/31/1939","8/31/1939","Tuolumne","","   on State Highway #120, 1 mile west of junction with Big Oak Flat Road between Knight's Ferry and Jamestown","on State Highway #120, 1 mile west of junction with Big Oak Flat Road between Knight's Ferry and Jamestown","yes",-120.5029,37.8827,"WGS84","Geolocate (copied from A344388)","",500,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.08895264,NA,NA,NA,NA,"no",NA,NA,-44172.2833870995,-14742.0103431973,8.6,14,24.2,17,3.2,33.5,291,172,10,139,15.9,25.6,7.6,18,613,36,42.4,706.7,4038,27,333,65,333,268,3,-12.5,43.9,1336,963,17.6,56,1939,571.6,892.1,132.45,1463.7,660.8,154.158333333333,50.6,202.408333333333,0,35.7,1.8,2.61,1.075,1.895
"9",42,"CAS166128","","","","Quercus douglasii","J. W. Blankinship","J. W. Blankinship","s.n.","","","9/16/1928","9/16/1928","Sept. 16, 1928","Lake","","   Mt. Konocti","Mount Konocti","yes",-122.7661,38.9746,"WGS84","GoogleMaps via BerkeleyMapper (copied from CAS165166)","",1.689,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.293030205,NA,NA,NA,NA,"no",NA,NA,-239386.699890293,110008.705850919,7.2,12.2,22.3,15.6,2,31.4,518,198,8,239,14.3,23.7,6.5,17.2,963,39,25.2,602,3474,40,318,88,325,237,10,-14.2,43.1,1225,852,16.8,57,1928,557,635.6,98.45,1192.7,1152.1,135.091666666667,36.5,190.033333333333,0,30.6,0.299999999999997,1.84,0.7,1.28666666666667
"10",43,"A344381","","","","Quercus douglasii","A. A. Heller","A. A. Heller","","7300","","4/9/1904","4/9/1904","4/9/1904","Santa Clara","","   Foothills west of Los Gatos","Foothills west of Los Gatos","yes",-122.0344,37.2202,"WGS84","GoogleMaps via BerkeleyMapper (copied from DS114130)","",3.5,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.251224985,NA,NA,NA,NA,"no",NA,NA,-180259.083668298,-86571.5837109671,9.5,12.2,19.3,16.5,5.5,26.8,516,248,13,203,14.4,20.1,8.9,11.2,979,39,24.9,519.1,3452,22,352,36,353,318,4,-7,39.2,1112,723,17.7,64,1904,520.8,723.2,107.683333333333,1244.3,799.1,106.225,29.4,194.908333333333,0,27.7,3.8,1.34,0.74,1.06333333333333
"11",44,"A344380","","","","Quercus douglasii","A. A. Heller","A. A. Heller","","10255","","4/12/1911","4/12/1911","4/12/1911","Santa Clara","","   Stanforrd [Stanford] University","Stanforrd [Stanford] University","yes",-122.1736,37.425,"WGS84","GoogleMaps via BerkeleyMapper (copied from POM128421)","",2,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.151917597,NA,NA,NA,NA,"no",NA,NA,-192068.990959123,-63537.9440159905,9.8,13.8,19.1,16.1,4.7,26.7,238,114,5,105,14.7,19.6,9.1,10.5,462,18,53.5,1096.9,3571,19,348,39,346,308,2,-8.8,39.7,1168,837,16.5,61,1911,378.2,807.9,117.716666666667,1186.2,484.2,51.3,14.9,193.108333333333,0,25,4.60000000000001,0.95,0.68,0.84
"12",45,"A344387","","","","Quercus douglasii","A. M. Carter","A. M. Carter","","727","","10/13/1934","10/13/1934","10/13/1934","Santa Clara","","   Open ridge between Long Branch of Isabel Creek and Bonito Creek, Mount Hamilton Range","Open ridge between Long Branch of Isabel Creek and Bonito Creek, Mount Hamilton Range","yes",-121.6653,37.3924,"WGS84","GoogleMaps via BerkeleyMapper (copied from A344386)","",2.5,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.096041463,NA,NA,NA,NA,"no",NA,NA,-147222.310622565,-68070.6639527553,8,11.4,20.6,16,4.2,27.2,271,161,8,143,14,21.8,7.4,14.4,583,34,41.2,650.6,3343,33,344,45,348,303,4,-10.3,39.4,1034,711,18.3,69,1934,449.7,841.6,127.716666666667,1291.2,920.9,55.9833333333333,14.5,197.933333333333,0,31.4,2.3,2.06,0.76,1.40333333333333
